Date,Reviews,Norm_Reviews,Region
2019-06-16,80747,0.8960541977684581,South Europe
2019-06-23,76913,0.8534034908168601,South Europe
2019-06-30,79590,0.883183340193341,South Europe
2019-07-07,75706,0.8399764164061718,South Europe
2019-07-14,79023,0.8768758412779638,South Europe
2019-07-21,79131,0.8780772696427975,South Europe
2019-07-28,79755,0.8850188557507258,South Europe
2019-08-04,76775,0.8518683323506836,South Europe
2019-08-11,81558,0.9050760348414226,South Europe
2019-08-18,87776,0.9742471605130544,South Europe
2019-08-25,83952,0.9317076969285706,South Europe
2019-09-01,75479,0.8374511919726786,South Europe
2019-09-08,78715,0.8734495455708453,South Europe
2019-09-15,87078,0.9664823734884808,South Europe
2019-09-22,90091,1.0,South Europe
2019-09-29,89270,0.9908669195599212,South Europe
2019-10-06,83103,0.922263135060572,South Europe
2019-10-13,78354,0.8694336600180215,South Europe
2019-10-20,72746,0.807048379740358,South Europe
2019-10-27,71617,0.7944890035931608,South Europe
2019-11-03,68967,0.7650095113078883,South Europe
2019-11-10,49645,0.5500650773697618,South Europe
2019-11-17,44472,0.49251888356156764,South Europe
2019-11-24,39996,0.4427263524412357,South Europe
2019-12-01,40383,0.4470314707485566,South Europe
2019-12-08,36250,0.40105458712024294,South Europe
2019-12-15,34378,0.380229828796458,South Europe
2019-12-22,28324,0.31288309434549966,South Europe
2019-12-29,38149,0.42217970253523635,South Europe
2020-01-05,64969,0.7205344131356168,South Europe
2020-01-12,34897,0.38600335954968684,South Europe
2020-01-19,30773,0.340126594951776,South Europe
2020-01-26,34856,0.3855472617445185,South Europe
2020-02-02,36181,0.4002870078871547,South Europe
2020-02-09,36394,0.4026564916066879,South Europe
2020-02-16,41607,0.4606476588833391,South Europe
2020-02-23,47366,0.5247127140044275,South Europe
2020-03-01,46965,0.5202518549831466,South Europe
2020-03-08,33803,0.3738333351873894,South Europe
2020-03-15,25165,0.27774131467411256,South Europe
2020-03-22,7615,0.0825092053886287,South Europe
2020-03-29,1760,0.017376213943243634,South Europe
2020-04-05,1677,0.016452893996195476,South Europe
2020-04-12,753,0.006174006874840088,South Europe
2020-04-19,682,0.005384178968329013,South Europe
2020-04-26,658,0.005117194887254847,South Europe
2020-05-03,1007,0.008999588399541677,South Europe
2020-05-10,1158,0.010679363242966639,South Europe
2020-05-17,1426,0.013660685481628158,South Europe
2020-05-24,1916,0.019111610470225714,South Europe
2020-05-31,2809,0.029045643153526972,South Europe
2020-06-07,3396,0.035575628803132614,South Europe
2020-06-14,5152,0.05510996406839242,South Europe
2020-06-21,5339,0.05719021503342863,South Europe
2020-06-28,7500,0.081229906666815,South Europe
2020-07-05,8231,0.08936179680286563,South Europe
2020-07-12,10411,0.11361285083376904,South Europe
2020-07-19,13238,0.1450613507169635,South Europe
2020-07-26,14551,0.15966760481906267,South Europe
2020-08-02,15948,0.1752083032049214,South Europe
2020-08-09,17313,0.19039302281601458,South Europe
2020-08-16,18138,0.19957060060293905,South Europe
2020-08-23,12492,0.1367625955302415,South Europe
2020-08-30,5177,0.05538807248617801,South Europe
2020-09-06,198,0.0,South Europe
2019-06-02,47265,0.8656771254316996,West Europe
2019-06-09,41749,0.764347123227276,West Europe
2019-06-16,47935,0.8779851568814755,West Europe
2019-06-23,45815,0.8390403409508413,West Europe
2019-06-30,45379,0.8310309354103902,West Europe
2019-07-07,46937,0.8596517010801675,West Europe
2019-07-14,45284,0.8292857667719892,West Europe
2019-07-21,42462,0.7774450731133808,West Europe
2019-07-28,40491,0.7412374164156074,West Europe
2019-08-04,40415,0.7398412815048865,West Europe
2019-08-11,43177,0.7905797633918731,West Europe
2019-08-18,45656,0.8361194797560438,West Europe
2019-08-25,41828,0.765798368726578,West Europe
2019-09-01,39549,0.7239326916011463,West Europe
2019-09-08,39326,0.7198361378499523,West Europe
2019-09-15,45802,0.8388015284003233,West Europe
2019-09-22,47475,0.8695348666323757,West Europe
2019-09-29,48828,0.8943897420824455,West Europe
2019-10-06,47809,0.8756705121610698,West Europe
2019-10-13,44429,0.8135792490263796,West Europe
2019-10-20,42203,0.7726871922992138,West Europe
2019-10-27,42883,0.7851789257109266,West Europe
2019-11-03,45652,0.836045998971269,West Europe
2019-11-10,33774,0.6178448085825556,West Europe
2019-11-17,37684,0.6896722756999045,West Europe
2019-11-24,35950,0.6578183555000368,West Europe
2019-12-01,38715,0.7086119479756043,West Europe
2019-12-08,37904,0.6937137188625174,West Europe
2019-12-15,34311,0.6277096039385701,West Europe
2019-12-22,29023,0.5305680064663091,West Europe
2019-12-29,33080,0.6050958924241311,West Europe
2020-01-05,54577,1.0,West Europe
2020-01-12,25079,0.4581159526783746,West Europe
2020-01-19,27114,0.49549930193254466,West Europe
2020-01-26,31148,0.5696046733779117,West Europe
2020-02-02,30983,0.566573591005952,West Europe
2020-02-09,32231,0.5894995958556838,West Europe
2020-02-16,33523,0.6132338893379381,West Europe
2020-02-23,38625,0.7069586303181717,West Europe
2020-03-01,37267,0.6820119038871335,West Europe
2020-03-08,32935,0.6024322139760453,West Europe
2020-03-15,28251,0.5163862150047762,West Europe
2020-03-22,10257,0.18583290469542216,West Europe
2020-03-29,2925,0.05114262620324785,West Europe
2020-04-05,2718,0.047339995591152914,West Europe
2020-04-12,1595,0.026710265265633037,West Europe
2020-04-19,1341,0.022044235432434417,West Europe
2020-04-26,1303,0.021346167977073994,West Europe
2020-05-03,1744,0.029447424498493645,West Europe
2020-05-10,1398,0.023091336615475053,West Europe
2020-05-17,2440,0.04223308104930561,West Europe
2020-05-24,3159,0.05544125211257256,West Europe
2020-05-31,3524,0.062146373723271364,West Europe
2020-06-07,4994,0.08915056212800353,West Europe
2020-06-14,5822,0.10436108457638328,West Europe
2020-06-21,6119,0.1098170328459108,West Europe
2020-06-28,7415,0.13362480711293998,West Europe
2020-07-05,9137,0.16525828495848335,West Europe
2020-07-12,11990,0.21766845469909618,West Europe
2020-07-19,14972,0.27244837974869573,West Europe
2020-07-26,15746,0.2866669116026159,West Europe
2020-08-02,17367,0.3164449996325961,West Europe
2020-08-09,18344,0.3343926813138364,West Europe
2020-08-16,16336,0.29750532735689617,West Europe
2020-08-23,10655,0.1931442427805129,West Europe
2020-08-30,4121,0.07311338085090749,West Europe
2020-09-06,141,0.0,West Europe
